"Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Category","Domain","Domain Category","Value","CV (%)"
"COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY",20,"CULLMAN","043","OPERATIONS WITH AREA BEARING","TOTAL","NOT SPECIFIED",10,55.7
"COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY",20,"CULLMAN","043","OPERATIONS WITH AREA GROWN","TOTAL","NOT SPECIFIED",11,52.7
"COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY",20,"CULLMAN","043","OPERATIONS WITH AREA NON-BEARING","TOTAL","NOT SPECIFIED",3,47.6
"COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY",20,"DE KALB","049","ACRES BEARING","TOTAL","NOT SPECIFIED",7,13.2
"COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY",20,"DE KALB","049","ACRES GROWN","TOTAL","NOT SPECIFIED",7,15.7
"COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY",20,"DE KALB","049","OPERATIONS WITH AREA BEARING","TOTAL","NOT SPECIFIED",6,55.7
"COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY",20,"DE KALB","049","OPERATIONS WITH AREA GROWN","TOTAL","NOT SPECIFIED",6,52.7
"COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY",20,"JACKSON","071","ACRES BEARING","TOTAL","NOT SPECIFIED",1,13.2
"COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY",20,"JACKSON","071","ACRES GROWN","TOTAL","NOT SPECIFIED",1,15.7
"COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY",20,"JACKSON","071","OPERATIONS WITH AREA BEARING","TOTAL","NOT SPECIFIED",4,55.7
"COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY",20,"JACKSON","071","OPERATIONS WITH AREA GROWN","TOTAL","NOT SPECIFIED",4,52.7
"COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY",20,"MARSHALL","095","ACRES BEARING","TOTAL","NOT SPECIFIED",3.46408111750402e+163,38.94
"COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY",20,"MARSHALL","095","ACRES GROWN","TOTAL","NOT SPECIFIED",1.06425998580873e+141,38.21
"COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY",20,"MARSHALL","095","OPERATIONS WITH AREA BEARING","TOTAL","NOT SPECIFIED",2,55.7
"COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY",20,"MARSHALL","095","OPERATIONS WITH AREA GROWN","TOTAL","NOT SPECIFIED",2,52.7
"COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY",20,"SAINT CLAIR","115","ACRES BEARING","TOTAL","NOT SPECIFIED",10,13.2
"COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY",20,"SAINT CLAIR","115","ACRES GROWN","TOTAL","NOT SPECIFIED",10,15.7
"COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY",20,"SAINT CLAIR","115","OPERATIONS WITH AREA BEARING","TOTAL","NOT SPECIFIED",8,55.7
"COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY",20,"SAINT CLAIR","115","OPERATIONS WITH AREA GROWN","TOTAL","NOT SPECIFIED",8,52.7
"COUNTY","ALABAMA","01","NORTHERN VALLEY",10,"LAUDERDALE","077","ACRES BEARING","TOTAL","NOT SPECIFIED",3.46408111750402e+163,38.94
"COUNTY","ALABAMA","01","NORTHERN VALLEY",10,"LAUDERDALE","077","ACRES GROWN","TOTAL","NOT SPECIFIED",1.06425998580873e+141,38.21
"COUNTY","ALABAMA","01","NORTHERN VALLEY",10,"LAUDERDALE","077","OPERATIONS WITH AREA BEARING","TOTAL","NOT SPECIFIED",2,55.7
"COUNTY","ALABAMA","01","NORTHERN VALLEY",10,"LAUDERDALE","077","OPERATIONS WITH AREA GROWN","TOTAL","NOT SPECIFIED",2,52.7
"COUNTY","ALABAMA","01","NORTHERN VALLEY",10,"LIMESTONE","083","ACRES BEARING","TOTAL","NOT SPECIFIED",3.46408111750402e+163,38.94
"COUNTY","ALABAMA","01","NORTHERN VALLEY",10,"LIMESTONE","083","ACRES GROWN","TOTAL","NOT SPECIFIED",1.06425998580873e+141,38.21
"COUNTY","ALABAMA","01","NORTHERN VALLEY",10,"LIMESTONE","083","OPERATIONS WITH AREA BEARING","TOTAL","NOT SPECIFIED",1,0.05
"COUNTY","ALABAMA","01","NORTHERN VALLEY",10,"LIMESTONE","083","OPERATIONS WITH AREA GROWN","TOTAL","NOT SPECIFIED",1,0.05
"COUNTY","ALABAMA","01","NORTHERN VALLEY",10,"MADISON","089","ACRES GROWN","TOTAL","NOT SPECIFIED",1.06425998580873e+141,38.21
"COUNTY","ALABAMA","01","NORTHERN VALLEY",10,"MADISON","089","ACRES NON-BEARING","TOTAL","NOT SPECIFIED",0,47.88
"COUNTY","ALABAMA","01","NORTHERN VALLEY",10,"MADISON","089","OPERATIONS WITH AREA GROWN","TOTAL","NOT SPECIFIED",2,0.05
"COUNTY","ALABAMA","01","NORTHERN VALLEY",10,"MADISON","089","OPERATIONS WITH AREA NON-BEARING","TOTAL","NOT SPECIFIED",2,0.05
"COUNTY","ALABAMA","01","NORTHERN VALLEY",10,"MARION","093","ACRES BEARING","TOTAL","NOT SPECIFIED",2,13.2
"COUNTY","ALABAMA","01","NORTHERN VALLEY",10,"MARION","093","ACRES GROWN","TOTAL","NOT SPECIFIED",2,15.7
"COUNTY","ALABAMA","01","NORTHERN VALLEY",10,"MARION","093","ACRES NON-BEARING","TOTAL","NOT SPECIFIED",0,99.95
"COUNTY","ALABAMA","01","NORTHERN VALLEY",10,"MARION","093","OPERATIONS WITH AREA BEARING","TOTAL","NOT SPECIFIED",3,55.7
"COUNTY","ALABAMA","01","NORTHERN VALLEY",10,"MARION","093","OPERATIONS WITH AREA GROWN","TOTAL","NOT SPECIFIED",6,52.7
"COUNTY","ALABAMA","01","NORTHERN VALLEY",10,"MARION","093","OPERATIONS WITH AREA NON-BEARING","TOTAL","NOT SPECIFIED",3,47.6
"COUNTY","ALABAMA","01","NORTHERN VALLEY",10,"MORGAN","103","ACRES BEARING","TOTAL","NOT SPECIFIED",61,13.2
"COUNTY","ALABAMA","01","NORTHERN VALLEY",10,"MORGAN","103","ACRES GROWN","TOTAL","NOT SPECIFIED",61,15.7
"COUNTY","ALABAMA","01","NORTHERN VALLEY",10,"MORGAN","103","OPERATIONS WITH AREA BEARING","TOTAL","NOT SPECIFIED",13,55.7
"COUNTY","ALABAMA","01","NORTHERN VALLEY",10,"MORGAN","103","OPERATIONS WITH AREA GROWN","TOTAL","NOT SPECIFIED",13,52.7
"COUNTY","ALABAMA","01","UPPER PLAINS & PIEDMONT",30,"BIBB","007","ACRES GROWN","TOTAL","NOT SPECIFIED",1.06425998580873e+141,38.21
"COUNTY","ALABAMA","01","UPPER PLAINS & PIEDMONT",30,"BIBB","007","ACRES NON-BEARING","TOTAL","NOT SPECIFIED",0,47.88
"COUNTY","ALABAMA","01","UPPER PLAINS & PIEDMONT",30,"BIBB","007","OPERATIONS WITH AREA GROWN","TOTAL","NOT SPECIFIED",1,52.7
"COUNTY","ALABAMA","01","UPPER PLAINS & PIEDMONT",30,"BIBB","007","OPERATIONS WITH AREA NON-BEARING","TOTAL","NOT SPECIFIED",1,47.6
"COUNTY","ALABAMA","01","UPPER PLAINS & PIEDMONT",30,"CHILTON","021","ACRES BEARING","TOTAL","NOT SPECIFIED",3.46408111750402e+163,38.94
"COUNTY","ALABAMA","01","UPPER PLAINS & PIEDMONT",30,"CHILTON","021","ACRES GROWN","TOTAL","NOT SPECIFIED",16,15.7
"COUNTY","ALABAMA","01","UPPER PLAINS & PIEDMONT",30,"CHILTON","021","ACRES NON-BEARING","TOTAL","NOT SPECIFIED",0,47.88
"COUNTY","ALABAMA","01","UPPER PLAINS & PIEDMONT",30,"CHILTON","021","OPERATIONS WITH AREA BEARING","TOTAL","NOT SPECIFIED",4,55.7
"COUNTY","ALABAMA","01","UPPER PLAINS & PIEDMONT",30,"CHILTON","021","OPERATIONS WITH AREA GROWN","TOTAL","NOT SPECIFIED",4,52.7
"COUNTY","ALABAMA","01","UPPER PLAINS & PIEDMONT",30,"CHILTON","021","OPERATIONS WITH AREA NON-BEARING","TOTAL","NOT SPECIFIED",2,47.6
"COUNTY","ALABAMA","01","UPPER PLAINS & PIEDMONT",30,"CLAY","027","ACRES BEARING","TOTAL","NOT SPECIFIED",8,13.2
"COUNTY","ALABAMA","01","UPPER PLAINS & PIEDMONT",30,"CLAY","027","ACRES GROWN","TOTAL","NOT SPECIFIED",8,15.7
"COUNTY","ALABAMA","01","UPPER PLAINS & PIEDMONT",30,"CLAY","027","OPERATIONS WITH AREA BEARING","TOTAL","NOT SPECIFIED",8,55.7
"COUNTY","ALABAMA","01","UPPER PLAINS & PIEDMONT",30,"CLAY","027","OPERATIONS WITH AREA GROWN","TOTAL","NOT SPECIFIED",8,52.7
"COUNTY","ALABAMA","01","UPPER PLAINS & PIEDMONT",30,"JEFFERSON","073","ACRES BEARING","TOTAL","NOT SPECIFIED",8,13.2
"COUNTY","ALABAMA","01","UPPER PLAINS & PIEDMONT",30,"JEFFERSON","073","ACRES GROWN","TOTAL","NOT SPECIFIED",8,15.7
"COUNTY","ALABAMA","01","UPPER PLAINS & PIEDMONT",30,"JEFFERSON","073","OPERATIONS WITH AREA BEARING","TOTAL","NOT SPECIFIED",5,55.7
"COUNTY","ALABAMA","01","UPPER PLAINS & PIEDMONT",30,"JEFFERSON","073","OPERATIONS WITH AREA GROWN","TOTAL","NOT SPECIFIED",5,52.7
"COUNTY","ALABAMA","01","UPPER PLAINS & PIEDMONT",30,"RANDOLPH","111","ACRES BEARING","TOTAL","NOT SPECIFIED",0,13.2
"COUNTY","ALABAMA","01","UPPER PLAINS & PIEDMONT",30,"RANDOLPH","111","ACRES GROWN","TOTAL","NOT SPECIFIED",0,15.7
"COUNTY","ALABAMA","01","UPPER PLAINS & PIEDMONT",30,"RANDOLPH","111","OPERATIONS WITH AREA BEARING","TOTAL","NOT SPECIFIED",4,55.7
"COUNTY","ALABAMA","01","UPPER PLAINS & PIEDMONT",30,"RANDOLPH","111","OPERATIONS WITH AREA GROWN","TOTAL","NOT SPECIFIED",4,52.7
"COUNTY","ALABAMA","01","UPPER PLAINS & PIEDMONT",30,"SHELBY","117","ACRES BEARING","TOTAL","NOT SPECIFIED",3.46408111750402e+163,38.94
"COUNTY","ALABAMA","01","UPPER PLAINS & PIEDMONT",30,"SHELBY","117","ACRES GROWN","TOTAL","NOT SPECIFIED",3,15.7
"COUNTY","ALABAMA","01","UPPER PLAINS & PIEDMONT",30,"SHELBY","117","ACRES NON-BEARING","TOTAL","NOT SPECIFIED",0,47.88
"COUNTY","ALABAMA","01","UPPER PLAINS & PIEDMONT",30,"SHELBY","117","OPERATIONS WITH AREA BEARING","TOTAL","NOT SPECIFIED",3,55.7
"COUNTY","ALABAMA","01","UPPER PLAINS & PIEDMONT",30,"SHELBY","117","OPERATIONS WITH AREA GROWN","TOTAL","NOT SPECIFIED",3,52.7
"COUNTY","ALABAMA","01","UPPER PLAINS & PIEDMONT",30,"SHELBY","117","OPERATIONS WITH AREA NON-BEARING","TOTAL","NOT SPECIFIED",1,47.6
"COUNTY","ALABAMA","01","UPPER PLAINS & PIEDMONT",30,"TALLADEGA","121","ACRES BEARING","TOTAL","NOT SPECIFIED",3.46408111750402e+163,38.94
"COUNTY","ALABAMA","01","UPPER PLAINS & PIEDMONT",30,"TALLADEGA","121","ACRES GROWN","TOTAL","NOT SPECIFIED",1.06425998580873e+141,38.21
"COUNTY","ALABAMA","01","UPPER PLAINS & PIEDMONT",30,"TALLADEGA","121","OPERATIONS WITH AREA BEARING","TOTAL","NOT SPECIFIED",1,0.05
"COUNTY","ALABAMA","01","UPPER PLAINS & PIEDMONT",30,"TALLADEGA","121","OPERATIONS WITH AREA GROWN","TOTAL","NOT SPECIFIED",1,0.05
"COUNTY","ALABAMA","01","UPPER PLAINS & PIEDMONT",30,"TUSCALOOSA","125","ACRES BEARING","TOTAL","NOT SPECIFIED",3.46408111750402e+163,38.94
"COUNTY","ALABAMA","01","UPPER PLAINS & PIEDMONT",30,"TUSCALOOSA","125","ACRES GROWN","TOTAL","NOT SPECIFIED",1.06425998580873e+141,38.21
"COUNTY","ALABAMA","01","UPPER PLAINS & PIEDMONT",30,"TUSCALOOSA","125","OPERATIONS WITH AREA BEARING","TOTAL","NOT SPECIFIED",2,55.7
"COUNTY","ALABAMA","01","UPPER PLAINS & PIEDMONT",30,"TUSCALOOSA","125","OPERATIONS WITH AREA GROWN","TOTAL","NOT SPECIFIED",2,52.7
"COUNTY","ALABAMA","01","UPPER PLAINS & PIEDMONT",30,"WALKER","127","ACRES BEARING","TOTAL","NOT SPECIFIED",3.46408111750402e+163,38.94
"COUNTY","ALABAMA","01","UPPER PLAINS & PIEDMONT",30,"WALKER","127","ACRES GROWN","TOTAL","NOT SPECIFIED",1.06425998580873e+141,38.21
"COUNTY","ALABAMA","01","UPPER PLAINS & PIEDMONT",30,"WALKER","127","OPERATIONS WITH AREA BEARING","TOTAL","NOT SPECIFIED",1,55.7
"COUNTY","ALABAMA","01","UPPER PLAINS & PIEDMONT",30,"WALKER","127","OPERATIONS WITH AREA GROWN","TOTAL","NOT SPECIFIED",1,52.7
"COUNTY","ALABAMA","01","WIREGRASS",60,"COVINGTON","039","ACRES BEARING","TOTAL","NOT SPECIFIED",3.46408111750402e+163,38.94
"COUNTY","ALABAMA","01","WIREGRASS",60,"COVINGTON","039","ACRES GROWN","TOTAL","NOT SPECIFIED",1.06425998580873e+141,38.21
"COUNTY","ALABAMA","01","WIREGRASS",60,"COVINGTON","039","OPERATIONS WITH AREA BEARING","TOTAL","NOT SPECIFIED",1,0.05
"COUNTY","ALABAMA","01","WIREGRASS",60,"COVINGTON","039","OPERATIONS WITH AREA GROWN","TOTAL","NOT SPECIFIED",1,0.05
"COUNTY","ALABAMA","01","WIREGRASS",60,"GENEVA","061","ACRES BEARING","TOTAL","NOT SPECIFIED",3.46408111750402e+163,38.94
"COUNTY","ALABAMA","01","WIREGRASS",60,"GENEVA","061","ACRES GROWN","TOTAL","NOT SPECIFIED",1.06425998580873e+141,38.21
"COUNTY","ALABAMA","01","WIREGRASS",60,"GENEVA","061","OPERATIONS WITH AREA BEARING","TOTAL","NOT SPECIFIED",1,0.05
"COUNTY","ALABAMA","01","WIREGRASS",60,"GENEVA","061","OPERATIONS WITH AREA GROWN","TOTAL","NOT SPECIFIED",1,0.05
"COUNTY","ALABAMA","01","WIREGRASS",60,"HOUSTON","069","ACRES BEARING","TOTAL","NOT SPECIFIED",1,13.2
"COUNTY","ALABAMA","01","WIREGRASS",60,"HOUSTON","069","ACRES GROWN","TOTAL","NOT SPECIFIED",1,15.7
"COUNTY","ALABAMA","01","WIREGRASS",60,"HOUSTON","069","OPERATIONS WITH AREA BEARING","TOTAL","NOT SPECIFIED",4,55.7
"COUNTY","ALABAMA","01","WIREGRASS",60,"HOUSTON","069","OPERATIONS WITH AREA GROWN","TOTAL","NOT SPECIFIED",4,52.7
"COUNTY","ALABAMA","01","WIREGRASS",60,"RUSSELL","113","ACRES BEARING","TOTAL","NOT SPECIFIED",3.46408111750402e+163,38.94
"COUNTY","ALABAMA","01","WIREGRASS",60,"RUSSELL","113","ACRES GROWN","TOTAL","NOT SPECIFIED",1.06425998580873e+141,38.21
"COUNTY","ALABAMA","01","WIREGRASS",60,"RUSSELL","113","OPERATIONS WITH AREA BEARING","TOTAL","NOT SPECIFIED",1,0.05
"COUNTY","ALABAMA","01","WIREGRASS",60,"RUSSELL","113","OPERATIONS WITH AREA GROWN","TOTAL","NOT SPECIFIED",1,0.05
"COUNTY","ALASKA","02","KENAI PENINSULA",30,"KENAI PENINSULA",NA,"ACRES BEARING","TOTAL","NOT SPECIFIED",1.13794756979822e+168,1.86
"COUNTY","ALASKA","02","KENAI PENINSULA",30,"KENAI PENINSULA",NA,"ACRES GROWN","TOTAL","NOT SPECIFIED",4,0.05
"COUNTY","ALASKA","02","KENAI PENINSULA",30,"KENAI PENINSULA",NA,"ACRES NON-BEARING","TOTAL","NOT SPECIFIED",0,10.81
"COUNTY","ALASKA","02","KENAI PENINSULA",30,"KENAI PENINSULA",NA,"OPERATIONS WITH AREA BEARING","TOTAL","NOT SPECIFIED",21,0.05
"COUNTY","ALASKA","02","KENAI PENINSULA",30,"KENAI PENINSULA",NA,"OPERATIONS WITH AREA GROWN","TOTAL","NOT SPECIFIED",24,0.05
"COUNTY","ALASKA","02","KENAI PENINSULA",30,"KENAI PENINSULA",NA,"OPERATIONS WITH AREA NON-BEARING","TOTAL","NOT SPECIFIED",6,0.05
"COUNTY","ALASKA","02","MATANUSKA-SUSITNA-ANCHORAGE",20,"ANCHORAGE",NA,"ACRES BEARING","TOTAL","NOT SPECIFIED",1.13794756979822e+168,1.86
"COUNTY","ALASKA","02","MATANUSKA-SUSITNA-ANCHORAGE",20,"ANCHORAGE",NA,"ACRES GROWN","TOTAL","NOT SPECIFIED",3.49608459907299e+145,1.14
"COUNTY","ALASKA","02","MATANUSKA-SUSITNA-ANCHORAGE",20,"ANCHORAGE",NA,"ACRES NON-BEARING","TOTAL","NOT SPECIFIED",0,10.81
"COUNTY","ALASKA","02","MATANUSKA-SUSITNA-ANCHORAGE",20,"ANCHORAGE",NA,"OPERATIONS WITH AREA BEARING","TOTAL","NOT SPECIFIED",11,0.05
"COUNTY","ALASKA","02","MATANUSKA-SUSITNA-ANCHORAGE",20,"ANCHORAGE",NA,"OPERATIONS WITH AREA GROWN","TOTAL","NOT SPECIFIED",12,0.05
"COUNTY","ALASKA","02","MATANUSKA-SUSITNA-ANCHORAGE",20,"ANCHORAGE",NA,"OPERATIONS WITH AREA NON-BEARING","TOTAL","NOT SPECIFIED",1,0.05
"COUNTY","ALASKA","02","SOUTHEAST",40,"JUNEAU",NA,"ACRES BEARING","TOTAL","NOT SPECIFIED",0,0.05
"COUNTY","ALASKA","02","SOUTHEAST",40,"JUNEAU",NA,"ACRES GROWN","TOTAL","NOT SPECIFIED",0,0.05
"COUNTY","ALASKA","02","SOUTHEAST",40,"JUNEAU",NA,"OPERATIONS WITH AREA BEARING","TOTAL","NOT SPECIFIED",3,0.05
"COUNTY","ALASKA","02","SOUTHEAST",40,"JUNEAU",NA,"OPERATIONS WITH AREA GROWN","TOTAL","NOT SPECIFIED",3,0.05
"COUNTY","ALASKA","02","SOUTHWEST & WEST",50,"ALEUTIAN ISLANDS",NA,"ACRES BEARING","TOTAL","NOT SPECIFIED",1.13794756979822e+168,1.86
"COUNTY","ALASKA","02","SOUTHWEST & WEST",50,"ALEUTIAN ISLANDS",NA,"ACRES GROWN","TOTAL","NOT SPECIFIED",3.49608459907299e+145,1.14
"COUNTY","ALASKA","02","SOUTHWEST & WEST",50,"ALEUTIAN ISLANDS",NA,"OPERATIONS WITH AREA BEARING","TOTAL","NOT SPECIFIED",2,0.05
"COUNTY","ALASKA","02","SOUTHWEST & WEST",50,"ALEUTIAN ISLANDS",NA,"OPERATIONS WITH AREA GROWN","TOTAL","NOT SPECIFIED",2,0.05
"COUNTY","ALASKA","02","TANANA VALLEY",10,"FAIRBANKS NORTH STAR",NA,"ACRES BEARING","TOTAL","NOT SPECIFIED",1.13794756979822e+168,1.86
"COUNTY","ALASKA","02","TANANA VALLEY",10,"FAIRBANKS NORTH STAR",NA,"ACRES GROWN","TOTAL","NOT SPECIFIED",7,0.05
"COUNTY","ALASKA","02","TANANA VALLEY",10,"FAIRBANKS NORTH STAR",NA,"ACRES NON-BEARING","TOTAL","NOT SPECIFIED",0,10.81
"COUNTY","ALASKA","02","TANANA VALLEY",10,"FAIRBANKS NORTH STAR",NA,"OPERATIONS WITH AREA BEARING","TOTAL","NOT SPECIFIED",8,0.05
"COUNTY","ALASKA","02","TANANA VALLEY",10,"FAIRBANKS NORTH STAR",NA,"OPERATIONS WITH AREA GROWN","TOTAL","NOT SPECIFIED",9,0.05
"COUNTY","ALASKA","02","TANANA VALLEY",10,"FAIRBANKS NORTH STAR",NA,"OPERATIONS WITH AREA NON-BEARING","TOTAL","NOT SPECIFIED",1,0.05
"COUNTY","ARIZONA","04","NORTHERN",10,"MOHAVE","015","ACRES BEARING","TOTAL","NOT SPECIFIED",0,63.2
"COUNTY","ARIZONA","04","NORTHERN",10,"MOHAVE","015","ACRES GROWN","TOTAL","NOT SPECIFIED",0,61
"COUNTY","ARIZONA","04","NORTHERN",10,"MOHAVE","015","OPERATIONS WITH AREA BEARING","TOTAL","NOT SPECIFIED",3,52.7
"COUNTY","ARIZONA","04","NORTHERN",10,"MOHAVE","015","OPERATIONS WITH AREA GROWN","TOTAL","NOT SPECIFIED",3,35
"COUNTY","ARIZONA","04","NORTHERN",10,"NAVAJO","017","ACRES BEARING","TOTAL","NOT SPECIFIED",1,63.2
"COUNTY","ARIZONA","04","NORTHERN",10,"NAVAJO","017","ACRES GROWN","TOTAL","NOT SPECIFIED",2,61
